artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
ARNOLFO DI CAMBIO,(c. 1245-c. 1310),Medieval,sculptor,https://www.wga.hu/html/a/arnolfo/index.html,Italy,Italian,1245,1310,ARNOLFO DI CAMBIO
"ARNULPHY, Claude",(1697-1786),Baroque,painter,https://www.wga.hu/html/a/arnulphy/index.html,Aix-en-Provence,French,1697,1786,Claude Arnulphy
"ARRIGHI, Antonio",(active 1746-1769),Rococo,architect,https://www.wga.hu/html/a/arrighi/index.html,Cremona,Italian,1746,1769,Antonio Arrighi
"ARRUDA, Diogo de",(c. 1470-1531),Medieval,architect,https://www.wga.hu/html/a/arruda/diogo/index.html,Portugal,Portuguese,1470,1531,Diogo de Arruda
"ARRUDA, Francisco de",(d. 1547),Medieval,architect,https://www.wga.hu/html/a/arruda/francisc/index.html,Portugal,Portuguese,1547,,Francisco de Arruda
"ARSON, Alphonse-Alexandre",(1822-1880),Realism,sculptor,https://www.wga.hu/html/a/arson/index.html,Paris,French,1822,1880,Alphonse-Alexandre Arson
"ARTHOIS, Jacques d'",(1613-1686),Baroque,painter,https://www.wga.hu/html/a/arthois/index.html,Brussels,Flemish,1613,1686,Jacques d' Arthois
"ARTIOLI, Giuseppe",(active 1750-1800),Neoclassicism,painter,https://www.wga.hu/html/a/artioli/index.html,Mantua,Italian,1750,1800,Giuseppe Artioli
"ASAM, Cosmas Damian",(1686-1739),Baroque,painter,https://www.wga.hu/html/a/asam/cosmas/index.html,Germany,German,1686,1739,Cosmas Damian Asam
"ASAM, Egid Quirin",(1692-1750),Baroque,sculptor,https://www.wga.hu/html/a/asam/egid/index.html,Germany,German,1692,1750,Egid Quirin Asam
"ASCH, Pieter Jansz. van",(1603-1678),Baroque,painter,https://www.wga.hu/html/a/asch/index.html,Delft,Dutch,1603,1678,Pieter Jansz. van Asch
"ASHBEE, Charles Robert",(1863-1942),Art Nouveau,architect,https://www.wga.hu/html/a/ashbee/index.html,London,English,1863,1942,Charles Robert Ashbee
"ASHFORD, William",(c. 1746-1824),Rococo,painter,https://www.wga.hu/html/a/ashford/index.html,Dublin,Irish,1746,1824,William Ashford
"ASHTON, Julian Rossi",(1851-1942),Impressionism,painter,https://www.wga.hu/html/a/ashton/index.html,Australia,Other,1851,1942,Julian Rossi Ashton
"ASPERTINI, Amico",(c. 1475-1552),Mannerism,painter,https://www.wga.hu/html/a/aspertin/index.html,Bologna,Italian,1475,1552,Amico Aspertini
"ASPETTI, Tiziano",(c. 1559-1606),Mannerism,sculptor,https://www.wga.hu/html/a/aspetti/index.html,Venice,Italian,1559,1606,Tiziano Aspetti
"ASSCHE, Henri van",(1774-1841),Romanticism,painter,https://www.wga.hu/html/a/assche/index.html,Brussels,Belgian,1774,1841,Henri van Assche
"ASSELYN, Jan",(c. 1610-1652),Baroque,painter,https://www.wga.hu/html/a/asselyn/index.html,Netherlands,Dutch,1610,1652,Jan Asselyn
"ASSERETO, Gioachino",(1600-1649),Baroque,painter,https://www.wga.hu/html/a/assereto/index.html,Genoa,Italian,1600,1649,Gioachino Assereto
"ASSTEYN, Bartholomeus",(1607-c. 1667),Baroque,painter,https://www.wga.hu/html/a/assteyn/index.html,Dordrecht,Dutch,1607,1667,Bartholomeus Assteyn
"AST, Balthasar van der",(1594-1657),Baroque,painter,https://www.wga.hu/html/a/ast/index.html,Delft,Dutch,1594,1657,Balthasar van der Ast
"ASTOR, Diego de",(c. 1587-c. 1650),Mannerism,graphic,https://www.wga.hu/html/a/astor/index.html,Spain,Spanish,1587,1650,Diego de Astor
"ASTRUC, Zacharie",(1833-1907),Impressionism,painter,https://www.wga.hu/html/a/astruc/index.html,Paris,French,1833,1907,Zacharie Astruc
ATTAVANTE DEGLI ATTAVANTI,(1452-c. 1525),Early Renaissance,illuminator,https://www.wga.hu/html/a/attavant/index.html,Florence,Italian,1452,1525,ATTAVANTE DEGLI ATTAVANTI
"ATTIRET, Claude-François",(1728-1804),Rococo,sculptor,https://www.wga.hu/html/a/attiret/index.html,Paris,French,1728,1804,Claude-François Attiret
"AUBERT, Jean",(active 1702-1741),Baroque,architect,https://www.wga.hu/html/a/aubert/index.html,Paris,French,1702,1741,Jean Aubert
"AUBRY, Etienne",(1745-1781),Rococo,painter,https://www.wga.hu/html/a/aubry/index.html,France,French,1745,1781,Etienne Aubry
"AUDRAN, Claude III",(1658-1734),Baroque,painter,https://www.wga.hu/html/a/audran/claude3/index.html,Paris,French,1658,1734,Claude III Audran
"AUDRAN, Jean",(1667-1756),Rococo,graphic,https://www.wga.hu/html/a/audran/jean/index.html,Paris,French,1667,1756,Jean Audran
"AUDUBON, John James",(1785-1851),Romanticism,graphic,https://www.wga.hu/html/a/audubon/index.html,United States,American,1785,1851,John James Audubon
"AUGUSTIN, Jean-Baptiste-Jacques",(1759-1832),Rococo,miniaturist,https://www.wga.hu/html/a/augustin/index.html,France,French,1759,1832,Jean-Baptiste-Jacques Augustin
"AVANZI, Jacopo",(active 1363-1384),Medieval,painter,https://www.wga.hu/html/a/avanzi/index.html,Padua,Italian,1363,1384,Jacopo Avanzi
"AVED, Jacques-André-Joseph",(1702-1766),Baroque,painter,https://www.wga.hu/html/a/aved/index.html,Paris,French,1702,1766,Jacques-André-Joseph Aved
"AVELINE, Antoine",(1691-1743),Baroque,graphic,https://www.wga.hu/html/a/aveline/antoine/index.html,Paris,French,1691,1743,Antoine Aveline
"AVELINE, Pierre-Alexandre",(1702-1760),Baroque,graphic,https://www.wga.hu/html/a/aveline/pierre/index.html,Paris,French,1702,1760,Pierre-Alexandre Aveline
"AVELLI, Francesco Xanto",(c. 1487-c. 1542),High Renaissance,painter,https://www.wga.hu/html/a/avelli/index.html,Italy,Italian,1487,1542,Francesco Xanto Avelli
"AVERCAMP, Barend",(c. 1612-1679),Baroque,painter,https://www.wga.hu/html/a/avercamp/barend/index.html,Kampen,Dutch,1612,1679,Barend Avercamp
"AVERCAMP, Hendrick",(1585-1634),Baroque,painter,https://www.wga.hu/html/a/avercamp/hendrick/index.html,Kampen,Dutch,1585,1634,Hendrick Avercamp
"AYALA, Josefa de",(1630-1684),Baroque,painter,https://www.wga.hu/html/a/ayala/index.html,Óbidos,Portuguese,1630,1684,Josefa de Ayala
"AZEGLIO, Massimo Taparelli, Marquis d'",(1798-1866),Romanticism,painter,https://www.wga.hu/html/a/azeglio/index.html,Turin,Italian,1798,1866,"Massimo Taparelli, Marquis d' Azeglio"
"BABOCCIO DA PIPERNO, Antonio",(c. 1351-1435),Early Renaissance,sculptor,https://www.wga.hu/html/b/baboccio/index.html,Naples,Italian,1351,1435,Antonio Baboccio Da Piperno
"BABUREN, Dirck van",(c. 1595-1624),Baroque,painter,https://www.wga.hu/html/b/baburen/index.html,Utrecht,Dutch,1595,1624,Dirck van Baburen
"BACCANELLI, Giovanni Antonio di Giulio",(doc. 1630-1661),Baroque,graphic,https://www.wga.hu/html/b/baccanel/index.html,Florence,Italian,1630,1661,Giovanni Antonio di Giulio Baccanelli
BACCHIACCA,(1494-1557),High Renaissance,painter,https://www.wga.hu/html/b/bacchiac/index.html,Florence,Italian,1494,1557,BACCHIACCA
BACCIO d'Agnolo,(1462-1543),High Renaissance,sculptor,https://www.wga.hu/html/b/baccio/index.html,Florence,Italian,1462,1543,BACCIO d'Agnolo
"BACHELIER, Nicolas",(1500-1557),Northern Renaissance,architect,https://www.wga.hu/html/b/bachelie/index.html,Toulouse,French,1500,1557,Nicolas Bachelier
BACICCIO,(1639-1709),Baroque,painter,https://www.wga.hu/html/b/baciccio/index.html,Rome,Italian,1639,1709,BACICCIO
"BACKER, Jacob Adriaensz.",(1608-1651),Baroque,painter,https://www.wga.hu/html/b/backer/index.html,Amsterdam,Dutch,1608,1651,Jacob Adriaensz. Backer
"BACKER, Jacob de",(1555/60-1585/90),Mannerism,painter,https://www.wga.hu/html/b/backerde/index.html,Flanders,Flemish,1555,1585,Jacob de Backer
"BACKHUYSEN, Ludolf",(1630-1708),Baroque,painter,https://www.wga.hu/html/b/backhuys/index.html,Netherlands,Dutch,1630,1708,Ludolf Backhuysen
"BACON, John",(1740-1799),Neoclassicism,sculptor,https://www.wga.hu/html/b/bacon/index.html,England,English,1740,1799,John Bacon
"BADALOCCHIO, Sisto",(1585-c. 1619),Baroque,painter,https://www.wga.hu/html/b/badalocc/index.html,Rome,Italian,1585,1619,Sisto Badalocchio
"BAEGERT, Derick",(c. 1440-c. 1515),Northern Renaissance,painter,https://www.wga.hu/html/b/baegert/index.html,Wesel,German,1440,1515,Derick Baegert
"BAELLIEUR, Cornelis de",(1607-1671),Baroque,painter,https://www.wga.hu/html/b/baellieu/index.html,Antwerp,Flemish,1607,1671,Cornelis de Baellieur
"BAEN, Jan de",(1633-1702),Baroque,painter,https://www.wga.hu/html/b/baen/index.html,Netherlands,Dutch,1633,1702,Jan de Baen
"BAERS, Johannes",(active 1624-1641),Baroque,painter,https://www.wga.hu/html/b/baers/index.html,Utrecht,Dutch,1624,1641,Johannes Baers
"BAERTSOEN, Albert",(1866-1922),Impressionism,painter,https://www.wga.hu/html/b/baertsoe/index.html,Belgium,Belgian,1866,1922,Albert Baertsoen
"BAERZE, Jacques de",(active 1390s),Medieval,sculptor,https://www.wga.hu/html/b/baerz/index.html,Dijon,French,1390,,Jacques de Baerze
"BAGLIONE, Cesare",(c. 1545-1615),Mannerism,painter,https://www.wga.hu/html/b/baglion/index.html,Italy,Italian,1545,1615,Cesare Baglione
"BAGLIONE, Giovanni",(c. 1566-1643),Baroque,painter,https://www.wga.hu/html/b/baglione/index.html,Rome,Italian,1566,1643,Giovanni Baglione
"BAILLIE SCOTT, Mackay Hugh",(1865-1945),Art Nouveau,architect,https://www.wga.hu/html/b/baillie/index.html,Darmstadt,English,1865,1945,Mackay Hugh Baillie Scott
"BAILLY, David",(1584-1657),Baroque,painter,https://www.wga.hu/html/b/bailly/index.html,Leiden,Dutch,1584,1657,David Bailly
"BAILLY, Jacques I",(c. 1634-1679),Baroque,miniaturist,https://www.wga.hu/html/b/bailly_j/1/index.html,Paris,French,1634,1679,Jacques I Bailly
"BAILLY, Jacques II",(c. 1700-1768),Baroque,painter,https://www.wga.hu/html/b/bailly_j/2/index.html,Paris,French,1700,1768,Jacques II Bailly
"BALASSI, Mario",(1604-1667),Baroque,painter,https://www.wga.hu/html/b/balassi/index.html,Florence,Italian,1604,1667,Mario Balassi
"BALAT, Alphonse",(1818-1895),Art Nouveau,architect,https://www.wga.hu/html/b/balat/index.html,Brussels,Belgian,1818,1895,Alphonse Balat
BALDASSARE D' ESTE,(1432-1506),Early Renaissance,painter,https://www.wga.hu/html/b/baldassa/index.html,Ferrara,Italian,1432,1506,BALDASSARE D' ESTE
"BALDI, Lazzaro",(1623-1703),Baroque,painter,https://www.wga.hu/html/b/baldi/index.html,Italy,Italian,1623,1703,Lazzaro Baldi
"BALDINI, Baccio",(1436-1487),Early Renaissance,graphic,https://www.wga.hu/html/b/baldini/index.html,Florence,Italian,1436,1487,Baccio Baldini
"BALDOVINETTI, Alessio",(c.1425-1499),Early Renaissance,painter,https://www.wga.hu/html/b/baldovin/index.html,Florence,Italian,1425,1499,Alessio Baldovinetti
"BALDRIGHI, Giuseppe",(1723-1803),Rococo,painter,https://www.wga.hu/html/b/baldrigh/index.html,Parma,Italian,1723,1803,Giuseppe Baldrighi
"BALDUCCI, Giovanni",(c. 1560-after 1631),Mannerism,painter,https://www.wga.hu/html/b/balducc/index.html,Florence,Italian,1560,1631,Giovanni Balducci
"BALDUCCI, Matteo",(c. 1509-1554),High Renaissance,painter,https://www.wga.hu/html/b/balducci/index.html,Umbria,Italian,1509,1554,Matteo Balducci
"BALDUNG GRIEN, Hans",(1484/85-1545),Northern Renaissance,painter,https://www.wga.hu/html/b/baldung/index.html,Germany,German,1484,1545,Hans Baldung Grien
"BALEN, Hendrick van",(1575-1632),Baroque,painter,https://www.wga.hu/html/b/balen/index.html,Antwerp,Flemish,1575,1632,Hendrick van Balen
"BALESTRA, Antonio",(1666-1740),Baroque,painter,https://www.wga.hu/html/b/balestra/index.html,Verona,Italian,1666,1740,Antonio Balestra
"BALLU, Théodore",(1817-1885),Neoclassicism,architect,https://www.wga.hu/html/b/ballu/index.html,Paris,French,1817,1885,Théodore Ballu
"BALTARD, Louis-Pierre",(1764-1846),Neoclassicism,architect,https://www.wga.hu/html/b/baltard/louis/index.html,Paris,French,1764,1846,Louis-Pierre Baltard
"BALTARD, Victor",(1805-1874),Art Nouveau,architect,https://www.wga.hu/html/b/baltard/victor/index.html,Paris,French,1805,1874,Victor Baltard
"BALTENS, Peeter",(c. 1527-c. 1584),Northern Renaissance,painter,https://www.wga.hu/html/b/baltens/index.html,Antwerp,Flemish,1527,1584,Peeter Baltens
"BALZICO, Alfonso",(1825-1901),Realism,sculptor,https://www.wga.hu/html/b/balzico/index.html,Italy,Italian,1825,1901,Alfonso Balzico
BAMBAIA,(1483-1548),High Renaissance,sculptor,https://www.wga.hu/html/b/bambaia/index.html,Milan,Italian,1483,1548,BAMBAIA
"BAMBINI, Nicolò",(1651-1736),Baroque,painter,https://www.wga.hu/html/b/bambini/index.html,Venice,Italian,1651,1736,Nicolò Bambini
"BANDHAUER, Gottfried",(1790-1827),Neoclassicism,architect,https://www.wga.hu/html/b/bandhaue/index.html,Köthen,German,1790,1827,Gottfried Bandhauer
"BANDINELLI, Baccio",(1493-1560),High Renaissance,sculptor,https://www.wga.hu/html/b/bandinel/index.html,Florence,Italian,1493,1560,Baccio Bandinelli
"BANDINI, Giovanni",(1540-1599),High Renaissance,sculptor,https://www.wga.hu/html/b/bandini/index.html,Florence,Italian,1540,1599,Giovanni Bandini
"BANKS, Thomas",(1735-1805),Neoclassicism,painter,https://www.wga.hu/html/b/banks/index.html,England,English,1735,1805,Thomas Banks
"BANTI, Cristiano",(1824-1904),Realism,painter,https://www.wga.hu/html/b/banti/index.html,Italy,Italian,1824,1904,Cristiano Banti
"BARABÁS, Miklós",(1810-1898),Romanticism,painter,https://www.wga.hu/html/b/barabas/index.html,Hungary,Hungarian,1810,1898,Miklós Barabás
"BARATTA, Giovanni di Isidoro",(1670-1747),Rococo,sculptor,https://www.wga.hu/html/b/baratta/giovanni/index.html,Italy,Italian,1670,1747,Giovanni di Isidoro Baratta
"BARATTA, Pietro",(1668-1729),Baroque,sculptor,https://www.wga.hu/html/b/baratta/pietro/index.html,Venice,Italian,1668,1729,Pietro Baratta
"BARBARI, Jacopo de'",(c. 1445-1516),High Renaissance,painter,https://www.wga.hu/html/b/barbari/index.html,Venice,Italian,1445,1516,Jacopo de' Barbari
"BARBARO, Daniele",(1514-1570),Mannerism,architect,https://www.wga.hu/html/b/barbaro/index.html,Venice,Italian,1514,1570,Daniele Barbaro
"BARBAULT, Jean",(1718-1762),Baroque,painter,https://www.wga.hu/html/b/barbault/index.html,Rome,French,1718,1762,Jean Barbault
"BARBEDIENNE, Ferdinand",(1810-1892),Realism,sculptor,https://www.wga.hu/html/b/barbedie/index.html,Paris,French,1810,1892,Ferdinand Barbedienne
"BARBIERI, Paolo Antonio",(1603-1649),Baroque,painter,https://www.wga.hu/html/b/barbieri/index.html,Italy,Italian,1603,1649,Paolo Antonio Barbieri
"BARDELLINO, Pietro",(1728-1819),Rococo,painter,https://www.wga.hu/html/b/bardelli/index.html,Naples,Italian,1728,1819,Pietro Bardellino
"BARENDSZ., Dirck",(1534-1592),Mannerism,painter,https://www.wga.hu/html/b/barendsz/index.html,Amsterdam,Dutch,1534,1592,Dirck Barendsz.
"BARKER, Thomas",(1769-1847),Romanticism,painter,https://www.wga.hu/html/b/barker/thomas/index.html,Bath,English,1769,1847,Thomas Barker
"BARKER, Thomas Jones",(1813-1882),Realism,painter,https://www.wga.hu/html/b/barker/thomas1/index.html,England,English,1813,1882,Thomas Jones Barker
BARNA DA SIENA,(active mid-14th cent.),Medieval,painter,https://www.wga.hu/html/b/barna/index.html,Siena,Italian,,,BARNA DA SIENA
BARNABA DA MODENA,(active 1361-1383),Medieval,painter,https://www.wga.hu/html/b/barnaba/index.html,Italy,Italian,1361,1383,BARNABA DA MODENA
"BAROCCI, Federico Fiori",(1526-1612),Mannerism,painter,https://www.wga.hu/html/b/barocci/index.html,Urbino,Italian,1526,1612,Federico Fiori Barocci
"BAROIS, François",(1656-1726),Baroque,sculptor,https://www.wga.hu/html/b/barois/index.html,Paris,French,1656,1726,François Barois
"BARON, Bernard",(1696-1762),Rococo,graphic,https://www.wga.hu/html/b/baron/index.html,London,French,1696,1762,Bernard Baron
"BARONCELLI, Niccolò",(active 1434-1453),Early Renaissance,sculptor,https://www.wga.hu/html/b/baroncel/index.html,Florence,Italian,1434,1453,Niccolò Baroncelli
"BARONZIO, Giovanni",(active c. 1326-c. 1362),Medieval,painter,https://www.wga.hu/html/b/baronzio/index.html,Rimini,Italian,1326,1362,Giovanni Baronzio
"BAROVIER, Angelo",(c. 1400-1460),Early Renaissance,glass,https://www.wga.hu/html/b/barovier/index.html,Murano,Italian,1400,1460,Angelo Barovier
"BARRA, Didier",(1590-1644),Baroque,painter,https://www.wga.hu/html/b/barra/index.html,France,French,1590,1644,Didier Barra
"BARRAUD, William",(1810-1850),Romanticism,painter,https://www.wga.hu/html/b/barraud/index.html,London,English,1810,1850,William Barraud
"BARRE, Jean-August",(1811-1896),Realism,sculptor,https://www.wga.hu/html/b/barre/son/index.html,Paris,French,1811,1896,Jean-August Barre
"BARRE, Jean-Jacques",(1793-1855),Romanticism,sculptor,https://www.wga.hu/html/b/barre/father/index.html,Paris,French,1793,1855,Jean-Jacques Barre
"BARRERA, Francisco",(1595-1658),Baroque,painter,https://www.wga.hu/html/b/barrera/index.html,Madrid,Spanish,1595,1658,Francisco Barrera
"BARRET, George",(c. 1728-1784),Rococo,painter,https://www.wga.hu/html/b/barret/index.html,Ireland,Irish,1728,1784,George Barret
"BARRIAS, Louis-Ernest",(1841-1905),Realism,sculptor,https://www.wga.hu/html/b/barrias/index.html,Paris,French,1841,1905,Louis-Ernest Barrias
"BARRIÈRE, Dominique",(c. 1618-1678),Baroque,graphic,https://www.wga.hu/html/b/barriere/index.html,Rome,French,1618,1678,Dominique Barrière
"BARRY, Sir Charles",(1795-1860),Neoclassicism,architect,https://www.wga.hu/html/b/barry/index.html,London,English,1795,1860,Sir Charles Barry
"BARTHEL, Melchior",(1625-1672),Baroque,sculptor,https://www.wga.hu/html/b/barthel/index.html,Venice,German,1625,1672,Melchior Barthel
"BARTHOLOMÉ, Albert",(1848-1928),Realism,sculptor,https://www.wga.hu/html/b/bartholo/index.html,Paris,French,1848,1928,Albert Bartholomé
"BARTLETT, Paul Wayland",(1865-1925),Realism,sculptor,https://www.wga.hu/html/b/bartlett/index.html,Paris,American,1865,1925,Paul Wayland Bartlett
"BARTOLINI, Lorenzo",(1777-1850),Neoclassicism,sculptor,https://www.wga.hu/html/b/bartolin/index.html,Italy,Italian,1777,1850,Lorenzo Bartolini
BARTOLINO da Novara,(d. ca. 1410),Medieval,architect,https://www.wga.hu/html/b/bartolix/index.html,Italy,Italian,1410,,BARTOLINO da Novara
BARTOLO DI FREDI,(c. 1330-c. 1410),Medieval,painter,https://www.wga.hu/html/b/bartolo/index.html,Siena,Italian,1330,1410,BARTOLO DI FREDI
BARTOLOMEO DELLA GATTA,(1448-1502),Early Renaissance,painter,https://www.wga.hu/html/b/bartolom/gatta/index.html,Florence,Italian,1448,1502,BARTOLOMEO DELLA GATTA
BARTOLOMEO DI FRUOSINO,(c. 1366-1441),Early Renaissance,illuminator,https://www.wga.hu/html/b/bartolom/fruosino/index.html,Florence,Italian,1366,1441,BARTOLOMEO DI FRUOSINO
BARTOLOMEO DI GIOVANNI,(active 1480-1510),Early Renaissance,painter,https://www.wga.hu/html/b/bartolom/giovanni/index.html,Florence,Italian,1480,1510,BARTOLOMEO DI GIOVANNI
BARTOLOMEO VENETO,(active 1502-1531),High Renaissance,painter,https://www.wga.hu/html/b/bartolom/veneto/index.html,Venice,Italian,1502,1531,BARTOLOMEO VENETO
"BARTOLOMEO, Fra",(1473-1517),High Renaissance,painter,https://www.wga.hu/html/b/bartolom/fra/index.html,Italy,Italian,1473,1517,Fra Bartolomeo
"BARTOLOZZI, Francesco",(1727-1815),Rococo,graphic,https://www.wga.hu/html/b/bartoloz/index.html,London,Italian,1727,1815,Francesco Bartolozzi
"BARTSIUS, Willem",(c. 1612- after 1639),Baroque,painter,https://www.wga.hu/html/b/bartsius/index.html,Amsterdam,Dutch,1612,1639,Willem Bartsius
"BARYE, Alfred",(1839-1882),Realism,sculptor,https://www.wga.hu/html/b/barye/son/index.html,Paris,French,1839,1882,Alfred Barye
"BARYE, Antoine-Louis",(1796-1875),Romanticism,sculptor,https://www.wga.hu/html/b/barye/father/index.html,France,French,1796,1875,Antoine-Louis Barye
"BARÓ, Berthomeu",(documented 1467-1481),Early Renaissance,painter,https://www.wga.hu/html/b/baro/index.html,Valencia,Spanish,1467,1481,Berthomeu Baró
"BASAITI, Marco",(active 1496-1530),High Renaissance,painter,https://www.wga.hu/html/b/basaiti/index.html,Venice,Italian,1496,1530,Marco Basaiti
"BASCHENIS, Evaristo",(1617-1677),Baroque,painter,https://www.wga.hu/html/b/bascheni/index.html,Bergamo,Italian,1617,1677,Evaristo Baschenis
"BASILE, Ernesto",(1857-1932),Art Nouveau,architect,https://www.wga.hu/html/b/basile/index.html,Palermo,Italian,1857,1932,Ernesto Basile
"BASSA, Arnau",(active 2nd half 14th cent.),Medieval,painter,https://www.wga.hu/html/b/bassa/arnaldo/index.html,Barcelona,Catalan,,,Arnau Bassa
"BASSA, Ferrer",(active 1324-1348),Medieval,painter,https://www.wga.hu/html/b/bassa/ferrer/index.html,Barcelona,Catalan,1324,1348,Ferrer Bassa
"BASSANO, Francesco",(1549-1592),Mannerism,painter,https://www.wga.hu/html/b/bassano/francesc/index.html,Venice,Italian,1549,1592,Francesco Bassano
"BASSANO, Jacopo",(c. 1515-1592),Mannerism,painter,https://www.wga.hu/html/b/bassano/jacopo/index.html,Venice,Italian,1515,1592,Jacopo Bassano
