artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"BISSCHOP, Abraham",(1670-1729),Baroque,painter,https://www.wga.hu/html/b/bisschop/abraham/index.html,Middelburg,Dutch,1670,1729,Abraham Bisschop
"BISSCHOP, Cornelis",(1630-1674),Baroque,painter,https://www.wga.hu/html/b/bisschop/cornelis/index.html,Dordrecht,Dutch,1630,1674,Cornelis Bisschop
"BISSCHOP, Jan de",(1628-1671),Baroque,graphic,https://www.wga.hu/html/b/bisschox/index.html,TheHague,Dutch,1628,1671,Jan de Bisschop
"BISSEN, Hermann Wilhelm",(1798-1868),Realism,sculptor,https://www.wga.hu/html/b/bissen/index.html,Denmark,Danish,1798,1868,Hermann Wilhelm Bissen
"BLAEU, Willem Janszoon",(1571-1638),Baroque,graphic,https://www.wga.hu/html/b/blaeu/index.html,Amsterdam,Dutch,1571,1638,Willem Janszoon Blaeu
"BLAKE, William",(1757-1827),Romanticism,graphic,https://www.wga.hu/html/b/blake/index.html,England,English,1757,1827,William Blake
"BLANCHARD, Jacques",(1600-1638),Baroque,painter,https://www.wga.hu/html/b/blanchar/index.html,Paris,French,1600,1638,Jacques Blanchard
"BLANCHARD, Pharamond",(1805-1873),Romanticism,painter,https://www.wga.hu/html/b/blanchax/index.html,France,French,1805,1873,Pharamond Blanchard
"BLANCHET, Louis-Gabriel",(1705-1772),Baroque,painter,https://www.wga.hu/html/b/blanche/index.html,Rome,French,1705,1772,Louis-Gabriel Blanchet
"BLANCHET, Thomas",(1614-1689),Baroque,painter,https://www.wga.hu/html/b/blanchet/index.html,France,French,1614,1689,Thomas Blanchet
"BLECHEN, Karl",(1797-1840),Romanticism,painter,https://www.wga.hu/html/b/blechen/index.html,Germany,German,1797,1840,Karl Blechen
"BLEKER, Dirck Gerritsz",(c. 1621-c. 1679),Baroque,painter,https://www.wga.hu/html/b/bleker/dirck/index.html,Amsterdam,Dutch,1621,1679,Dirck Gerritsz Bleker
"BLEKER, Gerrit Claesz",(c. 1592-1656),Baroque,painter,https://www.wga.hu/html/b/bleker/gerrit/index.html,Haarlem,Dutch,1592,1656,Gerrit Claesz Bleker
"BLES, Herri met de",(c. 1510 - after 1550),Mannerism,painter,https://www.wga.hu/html/b/bles/index.html,Antwerp,Flemish,1510,1550,Herri met de Bles
"BLEYSWIJCK, Cornelis Adriaensz van",(active 1605-1648),Baroque,goldsmith,https://www.wga.hu/html/b/bleyswij/index.html,Delft,Dutch,1605,1648,Cornelis Adriaensz van Bleyswijck
"BLIECK, Daniel de",(c. 1610-1673),Baroque,painter,https://www.wga.hu/html/b/blieck/index.html,Middelburg,Dutch,1610,1673,Daniel de Blieck
"BLOCH, Carl Heinrich",(1834-1890),Realism,painter,https://www.wga.hu/html/b/bloch/index.html,Copenhagen,Danish,1834,1890,Carl Heinrich Bloch
"BLOCK, Benjamin",(1631-1690),Baroque,painter,https://www.wga.hu/html/b/block/index.html,Germany,German,1631,1690,Benjamin Block
"BLOCKLANDT VAN MONTFOORT, Anthonie",(c. 1533-1583),Mannerism,painter,https://www.wga.hu/html/b/blocklan/index.html,Utrecht,Netherlandish,1533,1583,Anthonie Blocklandt Van Montfoort
